四川省公共资源交易信息
编号,标题,链接,发布时间,抓取时间
004e202f-25dd-456a-8ad0-f5248737214c_001,珙县巡场镇第四幼儿园改造项目及珙县巡场镇第三幼儿园建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201127/004e202f-25dd-456a-8ad0-f5248737214c.html,2020-11-27 08:59:22,2020/12/17 15:10:09
011b7904-03f5-427b-8798-81e2bcf0e6b5_001,自贡市沿滩区2020年农村人居环境整治项目一期工程(联户粪污集中处理设施及联户管网建设项目、农村村组道路建设项目)比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/011b7904-03f5-427b-8798-81e2bcf0e6b5.html,2020-12-15 10:07:12,2020/12/17 15:10:03
018372cb-e2e7-4f98-983a-2e1d54ff15c3_001,南湖科技园食堂及附属设施提升改造工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201207/018372cb-e2e7-4f98-983a-2e1d54ff15c3.html,2020-12-07 11:17:09,2020/12/17 15:10:06
06074eda-529a-4d9c-84f5-b83aec04192d_001,犍为县铜高教师周转房装修工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/06074eda-529a-4d9c-84f5-b83aec04192d.html,2020-11-30 11:26:21,2020/12/17 15:10:09
06092b7f-7761-42eb-8e6f-a94c4190c977_001,石棉县向阳小学教学综合楼建设工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/06092b7f-7761-42eb-8e6f-a94c4190c977.html,2020-12-03 11:56:42,2020/12/17 15:10:07
0666abfa-dae7-4e1b-9f94-528de9f57d1c_001,南充高新区先进制造产业园（一期）基础设施建设工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201211/0666abfa-dae7-4e1b-9f94-528de9f57d1c.html,2020-12-11 10:41:35,2020/12/17 15:10:04
0cea2120-1d5b-4176-9e3b-015a032b4755_001,翠屏区绿源小区二期绕山道路建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201118/0cea2120-1d5b-4176-9e3b-015a032b4755.html,2020-11-18 11:10:42,2020/12/17 15:10:13
0d40563c-3b20-47e8-97fc-397d5fbef350_001,凤凰大道东段市政道路工程（一期）项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/0d40563c-3b20-47e8-97fc-397d5fbef350.html,2020-11-30 14:58:26,2020/12/17 15:10:08
0da05f63-52c4-4f49-a5d2-751dc98c0012_001,丹棱县老峨山旅游扶贫提质改造建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201119/0da05f63-52c4-4f49-a5d2-751dc98c0012.html,2020-11-19 10:11:16,2020/12/17 15:10:12
0dac5f12-ee42-48d2-949f-507e74c8f03a_001,广安经济技术开发区沙坪路工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201119/0dac5f12-ee42-48d2-949f-507e74c8f03a.html,2020-11-19 10:12:47,2020/12/17 15:10:12
